-1 0:0.2241939451649078 1:0.1363170350608247 2:0.0142555861920332 3:0.01600799557794392 4:0.07626807069376128 5:-0.06702613766278549 6:-0.001729335782031265 7:0.145435074475716 8:0.02377645249914554 9:-0.02993209509626039
-1 0:0.2002697161144365 1:0.1442367291176392 2:0.01437063026445203 3:0.02118134173349841 4:-0.05692486765350217 5:0.008161923973334302 6:0.00208095086565596 7:-0.08103820738424922 8:0.08491374392381427 9:-0.06171373715851267
-1 0:0.1908581224485014 1:0.2063800424136375 2:-0.002881669273338544 3:0.04447803178913407 4:0.02788951528242955 5:-0.04773971876959728 6:0.01770772245359825 7:0.05740723391273597 8:0.0494879399503012 9:0.03079574874093913
-1 0:0.2344031226443846 1:0.1788556563924437 2:0.03782296875774661 3:0.03210406687563928 4:-0.03395858341204543 5:-0.02584817781654512 6:0.07751035958322142 7:-0.06448114146299182 8:0.0535292623230296 9:-0.09320502101826436
-1 0:0.2677893745984672 1:0.1450517835677562 2:-0.009758034660440253 3:0.008815169416546177 4:0.04762347586349722 5:-0.07301117792734386 6:0.05419915751069942 7:0.05671609585409423 8:0.07777223561741604 9:-0.09028624290571903
-1 0:0.1729389110341364 1:0.1102163058577423 2:-0.03121879542459245 3:-0.009066197100816506 4:0.006482222557983427 5:-0.03764642933032145 6:0.07630302273665726 7:-0.08516983021151754 8:0.02787813887476887 9:-0.02025912531230781
-1 0:0.1593740595387931 1:0.05321841874719503 2:-0.03057031960317355 3:0.0495495826459041 4:0.06871862732558838 5:-0.07034343322575388 6:0.04771439360452917 7:0.003834659154181985 8:0.09351605039793788 9:-0.04480401100681913
-1 0:0.2505638009068905 1:0.1933199879894086 2:-0.01360611367134652 3:0.05829049500573946 4:0.03582591358540982 5:-0.08321802951640461 6:0.01862553294523453 7:0.03819169708115859 8:0.1515541150894057 9:-0.1225066050401389
-1 0:0.2339859540907127 1:0.1598666463331623 2:-0.04581333373477006 3:0.0568759154757141 4:0.04101960592204874 5:-0.07365526149095117 6:-0.008895756977117268 7:0.07316754170935831 8:0.1161013354192157 9:-0.08426825053901005
-1 0:0.2652755842181103 1:0.1293533449581121 2:-0.05983528601570243 3:-0.04211280901551388 4:-0.02616415948222281 5:-0.02674379556084397 6:0.152308704656091 7:-0.1547579831579447 8:-0.01091902032006747 9:-0.07258742195553924
1 0:0.2313897940994291 1:0.1633397043743586 2:0.04228044385078546 3:0.04374516416341249 4:0.004039081913102334 5:-0.02837968311819451 6:0.02370923664490216 7:0.02147545811394752 8:0.0498890679239953 9:-0.08944706586822855
-1 0:0.1895163852097632 1:0.1406803077801913 2:-0.004833421530344347 3:0.04025835500645562 4:0.08176926769825847 5:-0.05342512291970223 6:-0.07412026511895872 7:0.113760139089588 8:0.02290375643772705 9:-0.01329114315886945
-1 0:0.2398747163867872 1:0.1444979796758532 2:0.01735606492403389 3:0.0300031625081956 4:0.02174052055628289 5:-0.06401979936276291 6:0.1004772783221048 7:-0.01551663972442825 8:0.002102907407279255 9:-0.04528327599886203
-1 0:0.2457570925929451 1:0.1644288056597955 2:0.01994722816482305 3:0.05017558027192807 4:0.03941410607071009 5:-0.06137893868589805 6:-0.01634959574061073 7:0.04622598250592647 8:0.07634703685734441 9:-0.09534958121476296
1 0:0.209175657340586 1:0.158928032456633 2:-0.02982495329158546 3:0.06590006861326102 4:0.0531981602051653 5:-0.076156789556705 6:0.03142053779437103 7:0.06063758683421667 8:0.100134544012311 9:-0.0810800165128311
-1 0:0.184115449181711 1:0.1737796354716898 2:-0.009654376507619467 3:0.05422898501938651 4:0.03043870814854167 5:-0.045976892086226 6:0.01008553038358704 7:-0.004324367878033908 8:0.1155867507628036 9:-0.01991847416993256
